,State,Year,State_Minimum_Wage,Federal_Minimum_Wage,Victim_Count
168,Connecticut,1994,4.27,4.25,68.0
169,Delaware,1994,4.25,4.25,42.0
170,District of Columbia,1994,4.25,4.25,2.0
171,Florida,1994,0.0,4.25,214.0
172,Georgia,1994,3.25,4.25,51.0
173,Guam,1994,4.25,4.25,0.0
174,Hawaii,1994,5.25,4.25,0.0
175,Idaho,1994,4.25,4.25,80.0
176,Illinois,1994,4.25,4.25,239.0
177,Indiana,1994,3.35,4.25,32.0
178,Iowa,1994,4.65,4.25,61.0
179,Kansas,1994,2.65,4.25,0.0
180,Kentucky,1994,4.25,4.25,4.0
181,Louisiana,1994,0.0,4.25,9.0
182,Maine,1994,4.25,4.25,7.0
183,Maryland,1994,4.25,4.25,331.0
184,Massachusetts,1994,4.25,4.25,0.0
185,Michigan,1994,3.35,4.25,252.0
186,Minnesota,1994,4.25,4.25,0.0
187,Mississippi,1994,0.0,4.25,6.0
188,Missouri,1994,4.25,4.25,140.0
189,Montana,1994,4.25,4.25,0.0
190,Nebraska,1994,4.25,4.25,0.0
191,Nevada,1994,4.25,4.25,16.0
192,New Hampshire,1994,4.25,4.25,3.0
193,New Jersey,1994,5.05,4.25,895.0
194,New Mexico,1994,4.25,4.25,12.0
195,New York,1994,4.25,4.25,911.0
196,North Carolina,1994,4.25,4.25,7.0
197,North Dakota,1994,4.25,4.25,5.0
198,Ohio,1994,4.25,4.25,357.0
199,Oklahoma,1994,4.25,4.25,20.0
200,Oregon,1994,4.75,4.25,177.0
201,Pennsylvania,1994,4.25,4.25,278.0
202,Puerto Rico,1994,1.2,4.25,0.0
203,Rhode Island,1994,4.45,4.25,37.0
204,South Carolina,1994,0.0,4.25,33.0
205,South Dakota,1994,4.25,4.25,1.0
206,Tennessee,1994,0.0,4.25,20.0
207,Texas,1994,3.35,4.25,365.0
208,U.S. Virgin Islands,1994,4.65,4.25,0.0
209,Utah,1994,4.25,4.25,93.0
210,Vermont,1994,4.25,4.25,12.0
211,Virginia,1994,4.25,4.25,95.0
212,Washington,1994,4.25,4.25,281.0
213,West Virginia,1994,4.25,4.25,0.0
214,Wisconsin,1994,4.25,4.25,40.0
215,Wyoming,1994,1.6,4.25,6.0
216,Alabama,1995,0.0,4.25,0.0
217,Alaska,1995,4.75,4.25,8.0
218,Arizona,1995,0.0,4.25,220.0
219,Arkansas,1995,4.25,4.25,7.0
220,California,1995,4.25,4.25,1751.0
221,Colorado,1995,3.0,4.25,149.0
222,Connecticut,1995,4.27,4.25,87.0
223,Delaware,1995,4.25,4.25,45.0
224,District of Columbia,1995,4.25,4.25,4.0
225,Florida,1995,0.0,4.25,164.0
226,Georgia,1995,3.25,4.25,49.0
227,Guam,1995,4.25,4.25,0.0
228,Hawaii,1995,5.25,4.25,0.0
229,Idaho,1995,4.25,4.25,114.0
230,Illinois,1995,4.25,4.25,146.0
231,Indiana,1995,3.35,4.25,35.0
232,Iowa,1995,4.65,4.25,29.0
233,Kansas,1995,2.65,4.25,0.0
234,Kentucky,1995,4.25,4.25,81.0
235,Louisiana,1995,0.0,4.25,7.0
236,Maine,1995,4.25,4.25,75.0
237,Maryland,1995,4.25,4.25,353.0
238,Massachusetts,1995,4.25,4.25,333.0
239,Michigan,1995,3.35,4.25,407.0
240,Minnesota,1995,4.25,4.25,285.0
241,Mississippi,1995,0.0,4.25,6.0
242,Missouri,1995,4.25,4.25,135.0
243,Montana,1995,4.25,4.25,11.0
244,Nebraska,1995,4.25,4.25,0.0
245,Nevada,1995,4.25,4.25,68.0
246,New Hampshire,1995,4.25,4.25,24.0
247,New Jersey,1995,5.05,4.25,768.0
248,New Mexico,1995,4.25,4.25,24.0
249,New York,1995,4.25,4.25,845.0
250,North Carolina,1995,4.25,4.25,52.0
251,North Dakota,1995,4.25,4.25,3.0
252,Ohio,1995,4.25,4.25,266.0
253,Oklahoma,1995,4.25,4.25,37.0
254,Oregon,1995,4.75,4.25,152.0
255,Pennsylvania,1995,4.25,4.25,284.0
256,Puerto Rico,1995,1.2,4.25,0.0
257,Rhode Island,1995,4.45,4.25,46.0
258,South Carolina,1995,0.0,4.25,26.0
259,South Dakota,1995,4.25,4.25,5.0
260,Tennessee,1995,0.0,4.25,25.0
261,Texas,1995,3.35,4.25,326.0
262,U.S. Virgin Islands,1995,4.65,4.25,0.0
263,Utah,1995,4.25,4.25,107.0
264,Vermont,1995,4.25,4.25,10.0
265,Virginia,1995,4.25,4.25,51.0
266,Washington,1995,4.25,4.25,266.0
267,West Virginia,1995,4.25,4.25,0.0
268,Wisconsin,1995,4.25,4.25,45.0
269,Wyoming,1995,1.6,4.25,19.0
270,Alabama,1996,0.0,4.25,0.0
271,Alaska,1996,4.75,4.25,9.0
272,Arizona,1996,0.0,4.25,250.0
273,Arkansas,1996,4.25,4.25,1.0
274,California,1996,4.25,4.25,2052.0
275,Colorado,1996,3.0,4.25,133.0
276,Connecticut,1996,4.27,4.25,114.0
277,Delaware,1996,4.65,4.25,67.0
278,District of Columbia,1996,5.25,4.25,16.0
279,Florida,1996,0.0,4.25,187.0
280,Georgia,1996,3.25,4.25,28.0
281,Guam,1996,4.25,4.25,0.0
282,Hawaii,1996,5.25,4.25,0.0
283,Idaho,1996,4.25,4.25,72.0
284,Illinois,1996,4.25,4.25,348.0
